user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Quelles sont les dates et le lieu du marché de Noël 2023 ?,"[""## Bulletin Municipal - Marché de Noël 2023\n\nTriffouillis-sur-Loire, 10 décembre 2023\n\nLa commune de Triffouillis-sur-Loire est en effervescence à l'approche de son Marché de Noël 2023. L'événement se tiendra les 16 et 17 décembre sur la Place du Grand Chêne, avec des animations variées et une ambiance chaleureuse garantie pour petits et grands."", '## OrganisationduMarchedeNoel2023\n\n<!-- image -->\n\ncelebre Marche de Noel! Cette annee encore, petits et grands pourront se plonger dans la magie des fetes en decouvrant de nombreux exposants et animations festives.\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\nDate:Samedi 16et dimanche 17 decembre 2023\n\nL\n\nO\n\n<!-- image -->\n\n<!-- image -->', '## Points forts de l\'édition 2023 :\n\n- Ambiance festive : Musique, décorations lumineuses et animations pour enfants ponctueront la programmation.\n- Exposants locaux : Les visiteurs pourront découvrir ""Les Délices de Tante Gertrude"" avec ses célèbres pains d\'épices, ""La Fabrique du Père Noël"" proposant des jouets en bois artisanaux, et ""Le Fromage qui Chante"", un stand insolite alliant dégustation de fromages et musique.\n- Animations : Atelier de décoration de biscuits, visite du Père Noël et tombola avec de nombreux lots.\n\nLes organisateurs invitent les habitants à venir nombreux profiter de ce moment de partage et d\'échanges, qui illustre parfaitement l\'esprit convivial de notre commune. Un dispositif de sécurité renforcé sera mis en place pour garantir le bon déroulement de l\'événement.\n\nPour plus d\'informations, rendez-vous sur le site officiel de la mairie ou contactez le service communication de Triffouillis-sur-Loire.']",Le Marché de Noël 2023 se tiendra les **samedi 16 et dimanche 17 décembre 2023** sur la **Place du Grand Chêne**.,Le marché de Noël 2023 se tiendra le samedi 16 et le dimanche 17 décembre 2023 sur la Place du Grand Chêne.,1.0,,0.9999999999,1.0
Quel est le budget total prévu pour l'année 2024 ?,"[""## 4. Budget Prévisionnel Global 2026\n\nLe budget total estimé pour la mise en œuvre de ce plan d'action en 2026 s'élève à 395 000 € HT . Ce financement sera assuré par :\n\n- Budget municipal d'investissement : [Montant à définir, ex : 295 000 €]\n- Demandes de subventions (Département, Région, État - DSIL, Fonds mobilités actives) : Objectif de [Montant à définir, ex : 100 000 €]"", '## 3. Suivi Budgétaire\n\n- Budget Initial Global (voté en 2023) : 3 500 000 € HT\n- Dépenses Engagées au 30/06/2025 : 2 150 000 € HT (soit 61.4% du budget initial)\n- Analyse : Les dépenses sont globalement conformes au prévisionnel. Une légère augmentation (+3%) a été constatée sur le lot ""Fondations spéciales"" en raison de la nature du sol nécessitant des renforcements non anticipés dans l\'étude initiale. Cette augmentation a été compensée par des économies réalisées sur le lot ""Charpente"".\n- Estimation du Coût Final Révisé : Maintenu à 3 550 000 € HT (+1.4%), sous réserve des résultats des appels d\'offres pour les lots restants (équipements scéniques, mobilier, aménagements extérieurs).', ""## Inauguration et ouverture au public : Septembre 2025 Budget détaillé et financement\n\nLe budget global de 1 200 000 € se répartit comme suit :\n\n- Études, conception et maîtrise d'œuvre : 120 000 € (10%)\n- Acquisition et préparation du terrain : 180 000 € (15%)\n- Construction et gros œuvre : 480 000 € (40%)\n- Second œuvre et aménagements intérieurs : 180 000 € (15%)\n- Équipements techniques et scéniques : 144 000 € (12%)\n- Aménagements extérieurs : 60 000 € (5%)\n- Communication et inauguration : 36 000 € (3%)""]","Je ne dispose pas de cette information, veuillez contacter le secrétariat.",Le budget total pour l'année 2024 est de 1 450 000 euros (850 000 € en fonctionnement et 600 000 € en investissement).,0.0,,0.0,0.0
Qui sont les exposants prévus pour le marché de Noël ?,"['## Les exposants presents:\n\n<!-- image -->\n\n- . maison\n- ·\n- ·\n- Les Lutins du Crochet-Bonnets,écharpes et pulls tricotes avec amour ·\n- ·\n- musicale\n- LaBoutiquedesLicornes deNoel-Cadeauxfeeriquesetaccessoires ·\n- ? terre\n- LesBougies Magiques deMamiePaulette-Bougiesparfumees et personnalisables\n- Le Bric-a-Brac du PereFouettard-Objets insolites et antiquitesfestives\n- Visite duPereNoel et distribution debonbons\n- Atelierdedecorationdebiscuitspourlesenfants 品\n- Spectacle de jongleurs et musiciens\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\nLoire!\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->', '## Points forts de l\'édition 2023 :\n\n- Ambiance festive : Musique, décorations lumineuses et animations pour enfants ponctueront la programmation.\n- Exposants locaux : Les visiteurs pourront découvrir ""Les Délices de Tante Gertrude"" avec ses célèbres pains d\'épices, ""La Fabrique du Père Noël"" proposant des jouets en bois artisanaux, et ""Le Fromage qui Chante"", un stand insolite alliant dégustation de fromages et musique.\n- Animations : Atelier de décoration de biscuits, visite du Père Noël et tombola avec de nombreux lots.\n\nLes organisateurs invitent les habitants à venir nombreux profiter de ce moment de partage et d\'échanges, qui illustre parfaitement l\'esprit convivial de notre commune. Un dispositif de sécurité renforcé sera mis en place pour garantir le bon déroulement de l\'événement.\n\nPour plus d\'informations, rendez-vous sur le site officiel de la mairie ou contactez le service communication de Triffouillis-sur-Loire.', '## OrganisationduMarchedeNoel2023\n\n<!-- image -->\n\ncelebre Marche de Noel! Cette annee encore, petits et grands pourront se plonger dans la magie des fetes en decouvrant de nombreux exposants et animations festives.\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\nDate:Samedi 16et dimanche 17 decembre 2023\n\nL\n\nO\n\n<!-- image -->\n\n<!-- image -->']","Voici la liste des exposants prévus pour le marché de Noël 2023 à Triffouillis-sur-Loire :

- Les Lutins du Crochet – bonnets, écharpes et pulls tricotés avec amour  
- La Boutique des Licornes de Noël – cadeaux féeriques et accessoires  
- Les Bougies Magiques de Mamie Paulette – bougies parfumées et personnalisables  
- Le Bric-à-Brac du Père Fouettard – objets insolites et antiquités festives  
- Les Délices de Tante Gertrude – célèbres pains d’épices  
- La Fabrique du Père Noël – jouets en bois artisanaux  
- Le Fromage qui Chante – dégustation de fromages et musique  

Vous pourrez également profiter de la visite du Père Noël, d’un atelier de décoration de biscuits pour les enfants, ainsi que de spectacles de jongleurs et de musiciens.","Les exposants incluent Les Lutins du Crochet, La Boutique des Licornes de Noël, Les Bougies Magiques de Mamie Paulette et Le Bric-à-Brac du Père Fouettard.",1.0,,0.9999999999,1.0
Quels travaux sont prévus pour la voirie centrale ?,"['## Projet de Rénovation de la Voirie Centrale', ""## Objectifs du projet\n\nLa rénovation de la voirie centrale poursuit plusieurs objectifs clés :\n\n1. Améliorer la sécurité routière et piétonnière par une refonte complète de la chaussée et des zones de circulation\n2. Favoriser l'accessibilité universelle en supprimant les obstacles architecturaux et en adaptant les infrastructures\n3. Promouvoir les mobilités douces par l'intégration d'aménagements cyclables et de zones partagées\n4. Embellir l'espace public grâce à des matériaux de qualité et un design urbain cohérent\n5. Moderniser les réseaux souterrains pour prévenir les problèmes d'infiltration et d'inondation\n6. Dynamiser l'économie locale en créant un environnement propice à la fréquentation des commerces\n7. Réduire l'impact environnemental par l'utilisation de matériaux durables et la création d'îlots de fraîcheur"", ""## Présentation générale du projet\n\nLa rénovation de la voirie centrale représente un projet structurant pour notre commune, visant à transformer profondément l'aspect et la fonctionnalité du cœur de notre ville. Avec un budget alloué de 750 000 €, ce projet ambitieux mais nécessaire a été lancé le 1er septembre 2023 pour répondre aux défis de mobilité urbaine, d'accessibilité et d'esthétique de notre centre-ville.""]","Les travaux prévus dans le cadre de la rénovation de la voirie centrale portent sur :

- la refonte complète de la chaussée et des zones de circulation (amélioration de la sécurité routière et piétonnière) ;
- la suppression des obstacles architecturaux et l’adaptation des infrastructures pour l’accessibilité universelle ;
- l’intégration d’aménagements cyclables et de zones partagées pour favoriser les mobilités douces ;
- l’embellissement de l’espace public avec des matériaux de qualité et un design urbain cohérent ;
- la modernisation des réseaux souterrains afin de prévenir les infiltrations et les inondations ;
- la création d’îlots de fraîcheur et l’utilisation de matériaux durables pour réduire l’impact environnemental.

Ces travaux s’inscrivent dans un projet global lancé le 1ᵉʳ septembre 2023, avec un budget de 750 000 €.","Le projet de rénovation de la voirie centrale prévoit la réfection des pavés, l'élargissement des trottoirs pour l'accessibilité PMR et l'installation de nouveau mobilier urbain.",1.0,,0.0,0.0
Quels sont les trois bâtiments municipaux concernés par l'étude de faisabilité pour l'installation de panneaux photovoltaïques ?,"[""## Résumé Opérationnel\n\nLa présente étude évalue la faisabilité technique, économique et environnementale de l'installation de panneaux solaires photovoltaïques sur les toitures de trois bâtiments municipaux clés : la Mairie, l'École Primaire Jean Moulin et le Gymnase Municipal. L'analyse technique confirme un potentiel intéressant sur les trois sites, avec une surface exploitable totale estimée à environ 950 m². La production annuelle pourrait couvrir une part significative (estimée entre 25% et 40%) de la consommation électrique actuelle de ces bâtiments, générant des économies substantielles sur les factures énergétiques et réduisant l'empreinte carbone de la commune. L'investissement initial est conséquent mais potentiellement amortissable sur une période de 12 à 16 ans, en fonction des subventions obtenues et du modèle d'autoconsommation choisi. L'étude recommande de poursuivre le projet en lançant des études techniques détaillées et en recherchant activement des financements externes."", 'Type : Étude de faisabilité Sujet : Installation de panneaux photovoltaïques sur les bâtiments municipaux Date : 5 septembre 2025', ""## MAIRIE DE TRIFOUILLIS-SUR-LOIRE\n\nÉtude de Faisabilité Installation de Panneaux Solaires Photovoltaïques sur les Bâtiments Municipaux : Mairie, École Primaire Jean Moulin, Gymnase Municipal Date de publication : 5 septembre 2025 Service commanditaire : Direction Générale des Services Réalisée par : Services Techniques Municipaux (Pôle Bâtiments et Énergie) avec l'appui d'un bureau d'études externe [Nom fictif du BE, ex : Sol'Air Études]""]","Les trois bâtiments municipaux concernés par l’étude sont : la Mairie, l’École Primaire Jean Moulin et le Gymnase Municipal.","Les trois bâtiments concernés sont la Mairie, l'École Primaire Jean Moulin et le Gymnase Municipal.",1.0,,0.8333333332916666,1.0
Quelle est la surface exploitable totale estimée pour l'installation des panneaux solaires et quel pourcentage de la consommation électrique cela pourrait-il couvrir ?,"[""## 4. Estimation du Potentiel de Production Énergétique\n\n- •\n\n- Production annuelle totale estimée : environ 165 000 kWh/an\n\n.\n\n- Consommation annuelle cumulée des 3 bâtiments : environ 500 000 kWh/an.\n\n- Taux de couverture potentiel par l'autoconsommation : 33% . Ce taux pourrait être optimisé par des stratégies de gestion de la charge (ex: recharges véhicules électriques en journée)."", ""## Résumé Opérationnel\n\nLa présente étude évalue la faisabilité technique, économique et environnementale de l'installation de panneaux solaires photovoltaïques sur les toitures de trois bâtiments municipaux clés : la Mairie, l'École Primaire Jean Moulin et le Gymnase Municipal. L'analyse technique confirme un potentiel intéressant sur les trois sites, avec une surface exploitable totale estimée à environ 950 m². La production annuelle pourrait couvrir une part significative (estimée entre 25% et 40%) de la consommation électrique actuelle de ces bâtiments, générant des économies substantielles sur les factures énergétiques et réduisant l'empreinte carbone de la commune. L'investissement initial est conséquent mais potentiellement amortissable sur une période de 12 à 16 ans, en fonction des subventions obtenues et du modèle d'autoconsommation choisi. L'étude recommande de poursuivre le projet en lançant des études techniques détaillées et en recherchant activement des financements externes."", '## 3. Analyse Technique par Bâtiment\n\n|                         | Surface                       | Puissance                | Puissance                         | Puissance                                                 | Puissance                 |\n|-------------------------|-------------------------------|--------------------------|-----------------------------------|-----------------------------------------------------------|---------------------------|\n| Bâtiment                | Toiture Exploitable (estimée) | Orientation / Pente      | État Toiture / Structure          | Crête Installable (estimée)                               | Commentaires              |\n| 150 m²                  | Sud / 30°                     | Bon prioriOK             | état / A                          | 25kWc Quelques ombres portées mineures (antennes).        | Mairie                    |\n| 400 m² (plusieurs pans) | Sud-Est, Sud-Ouest 25°        | / Bon                    | état / Structure à vérifier       | 65kWc Nécessite étude structurelle détaillée (charpente). | École Jean Moulin         |\n| 400 m²                  |                               | Faible Pente (bac acier) | État moyen / Structure à vérifier | 60kWc Nécessite étude structurelle + étanchéité à         | Gymnase Municipal revoir. |\n|                         | 950 m²                        |                          |                                   | 150kWc                                                    | TOTAL']",La surface exploitable totale estimée pour l’installation des panneaux solaires est d’environ **950 m²**. Cela pourrait couvrir entre **25 % et 40 %** de la consommation électrique actuelle des bâtiments concernés.,La surface exploitable totale est estimée à environ 950 m² et la production pourrait couvrir entre 25% et 40% de la consommation électrique actuelle de ces bâtiments.,1.0,,0.99999999995,1.0
Quel est le budget prévu pour l'installation du système de surveillance urbaine et combien de caméras seront déployées ?,"[""## Brief de projet : Installation d'un système de surveillance urbaine Aperçu du projet\n\nL'installation d'un système de surveillance urbaine représente un investissement de 400 000 € pour notre commune, avec un déploiement prévu à partir du 1er décembre 2023. Ce projet vise à renforcer significativement la sécurité publique par la mise en place d'un réseau de caméras stratégiquement positionnées, tout en respectant les libertés individuelles et en s'inscrivant dans une démarche globale de ville intelligente et sécurisée."", ""## Architecture du système\n\nLe système de surveillance urbaine comprendra :\n\n- 75 caméras de vidéoprotection réparties sur le territoire communal\n- Un centre de supervision urbain (CSU) équipé de murs d'écrans et postes de contrôle\n- Une infrastructure réseau sécurisée pour la transmission des données\n- Des serveurs de stockage redondants pour l'archivage temporaire des images\n- Des logiciels d'analyse vidéo de dernière génération\n- Des dispositifs de secours énergétique garantissant la continuité du service"", '## Aspects financiers Budget détaillé\n\nLe budget global de 400 000 € se décompose comme suit :\n\n- Équipements de vidéoprotection (caméras, supports) : 180 000 €\n- Infrastructure réseau sécurisée : 60 000 €\n- Aménagement du CSU : 50 000 €\n- Serveurs et systèmes de stockage : 40 000 €\n- Logiciels et licences : 35 000 €\n- Études, conception et ingénierie : 25 000 €\n- Formation des personnels : 10 000 €']","Le budget prévu pour l’installation du système de surveillance urbaine est de 400 000 €.  
75 caméras de vidéoprotection seront déployées sur le territoire communal.",Le budget prévu est de 400 000 € et le système comprendra 75 caméras de vidéoprotection réparties sur le territoire communal.,1.0,,0.0,1.0
Quels sont les principaux objectifs de la création du Centre Culturel Innovant ?,"[""## Objectifs du projet\n\nLa création du Centre Culturel Innovant poursuit plusieurs objectifs complémentaires :\n\n1. Diversifier l'offre culturelle en proposant une programmation pluridisciplinaire de qualité\n2. Soutenir la création artistique locale en offrant des espaces de travail et de diffusion adaptés\n3. Favoriser l'accès à la culture pour tous grâce à une politique tarifaire inclusive et des actions de médiation\n4. Développer l'éducation artistique en partenariat avec les établissements scolaires\n5. Stimuler l'économie créative en créant un écosystème favorable aux industries culturelles\n6. Renforcer l'attractivité du territoire par un équipement culturel rayonnant\n7. Créer un lieu de vie et de rencontre favorisant la mixité sociale et intergénérationnelle\n8. Encourager l'innovation dans les pratiques culturelles et artistiques"", '## Projet de Création du Centre Culturel Innovant', ""## Innovation et spécificités\n\nLe Centre Culturel Innovant se distinguera par plusieurs caractéristiques uniques :\n\n- Approche transmédia mêlant arts traditionnels et numériques\n- Programmation participative impliquant les habitants dans les choix culturels\n- Résidences croisées associant artistes et scientifiques/chercheurs\n- Laboratoire d'expérimentation pour nouvelles formes artistiques\n- Approche inclusive avec dispositifs adaptés aux différents handicaps\n- Bâtiment intelligent à énergie positive et faible empreinte carbone\n- Modèle économique hybride combinant service public et activités génératrices de revenus""]","Les principaux objectifs de la création du Centre Culturel Innovant sont :

1. Diversifier l’offre culturelle en proposant une programmation pluridisciplinaire de qualité
2. Soutenir la création artistique locale en offrant des espaces de travail et de diffusion adaptés
3. Favoriser l’accès à la culture pour tous grâce à une politique tarifaire inclusive et des actions de médiation
4. Développer l’éducation artistique en partenariat avec les établissements scolaires
5. Stimuler l’économie créative en créant un écosystème favorable aux industries culturelles
6. Renforcer l’attractivité du territoire par un équipement culturel rayonnant
7. Créer un lieu de vie et de rencontre favorisant la mixité sociale et intergénérationnelle
8. Encourager l’innovation dans les pratiques culturelles et artistiques","Les objectifs incluent la diversification de l'offre culturelle, le soutien à la création artistique locale, l'accès à la culture pour tous, le développement de l'éducation artistique, la stimulation de l'économie créative, le renforcement de l'attractivité du territoire, la création d'un lieu de vie et de rencontre, et l'encouragement de l'innovation.",1.0,,0.9999999999,1.0
Où se déroule la Fête des Saveurs Insolites et quels sont les exposants mentionnés ?,"['Fête des Saveurs Insolites\n\nDate : 5 avril 2024\nLieu : Jardin des Délices, Triffouillis-sur-Loire\n\nExposants :\n\n- Epicurieux – Stand de mets fusion surprenants\n- Les Papilles en Folie – Dégustation de plats et recettes inventives\n- Bulle de Goût – Atelier de création de boissons originales et cocktails sans alcool\n\nActivités prévues :\n\n- Dégustations et démonstrations culinaires en live\n- Ateliers de mixologie et créations de recettes insolites\n- Animations ludiques avec quiz gastronomique et concours de cuisine\n- Stands interactifs où les visiteurs créent leur propre plat à partir d’ingrédients mystères\n- Rencontre avec des chefs locaux et discussions sur l’innovation culinaire', '## Les exposants presents:\n\n<!-- image -->\n\n- . maison\n- ·\n- ·\n- Les Lutins du Crochet-Bonnets,écharpes et pulls tricotes avec amour ·\n- ·\n- musicale\n- LaBoutiquedesLicornes deNoel-Cadeauxfeeriquesetaccessoires ·\n- ? terre\n- LesBougies Magiques deMamiePaulette-Bougiesparfumees et personnalisables\n- Le Bric-a-Brac du PereFouettard-Objets insolites et antiquitesfestives\n- Visite duPereNoel et distribution debonbons\n- Atelierdedecorationdebiscuitspourlesenfants 品\n- Spectacle de jongleurs et musiciens\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\nLoire!\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->\n\n<!-- image -->', '**Journée de l’Insolence Créative**\n\n**Date :** 18 mai 2024 **Lieu :** Esplanade de la Créativité, Triffouillis-sur-Loire\n\n**Exposants :**\n\n- **Les Artisans Déjantés** – Créations d’objets design et humoristiques\n- **Innova’Folie** – Exposition d’inventions décalées et prototypes farfelus\n- **Créa’Tonic** – Stand de designers et artistes en herbe\n\n**Activités prévues :**\n\n- Expositions d’art et d’objets insolites accompagnées d’explications ludiques\n- Ateliers de création collaborative où chacun peut proposer son idée décalée\n- Concours du projet le plus original avec vote du public et remise de prix fantaisistes\n- Performances de danse, théâtre et musique décalée sur scène ouverte\n- Espaces interactifs pour tester des innovations techniques et artistiques']","La Fête des Saveurs Insolites se déroule au Jardin des Délices, à Triffouillis-sur-Loire.

Les exposants mentionnés sont :
- Epicurieux – Stand de mets fusion surprenants
- Les Papilles en Folie – Dégustation de plats et recettes inventives
- Bulle de Goût – Atelier de création de boissons originales et cocktails sans alcool","La fête se déroule au Jardin des Délices à Triffouillis-sur-Loire. Les exposants mentionnés sont Epicurieux, Les Papilles en Folie et Bulle de Goût.",1.0,,0.9999999999,1.0
Quel est le montant du budget pour le projet de Centre Culturel Innovant et quand a-t-il été lancé ?,"[""## Présentation générale du projet\n\nLe projet de création du Centre Culturel Innovant constitue une initiative majeure pour notre commune, visant à établir un pôle artistique et culturel rayonnant à l'échelle régionale. Lancé le 20 janvier 2024 avec un budget ambitieux de 1 200 000 €, ce projet structurant s'inscrit dans notre stratégie de développement culturel et de valorisation des talents locaux, tout en renforçant l'attractivité du territoire."", '## Projet de Création du Centre Culturel Innovant', '## Impact territorial et retombées attendues\n\nLe Centre Culturel Innovant générera des bénéfices multiples :']",Le projet de création du Centre Culturel Innovant a été lancé le 20 janvier 2024 avec un budget de 1 200 000 €.,Le projet a été lancé le 20 janvier 2024 avec un budget de 1 200 000 €.,1.0,,0.9999999999,1.0
Que contient le Titre II du règlement municipal de Trifouillis-sur-Loire ?,"[""## PRÉAMBULE\n\nLe présent règlement municipal de la commune de Trifouillis-sur-Loire, établi conformément aux dispositions du Code Général des Collectivités Territoriales, notamment ses articles L.2212-1 et suivants, définit les règles essentielles régissant la vie communale. Il vise à garantir l'ordre public, la sécurité, la tranquillité et la salubrité sur l'ensemble du territoire communal. Ce règlement, délibéré et approuvé par le Conseil Municipal lors de sa séance du 15 décembre 2024, s'applique à tous les habitants, visiteurs et usagers de la commune de Trifouillis-sur-Loire. Considérant qu'il appartient au Maire de prendre toutes les mesures nécessaires pour assurer le bon ordre, la sécurité et la salubrité publiques dans sa commune ; Considérant la nécessité de fixer par un texte unique les règles générales applicables sur le territoire communal, sans préjudice des règlements particuliers qui peuvent être établis pour certaines activités ou certains espaces ; Le présent règlement a pour objet d'assurer un cadre de vie harmonieux pour l'ensemble des administrés, dans le respect des libertés individuelles et collectives."", ""sser couler sur la voie publique des substances susceptibles de compromettre la salubrité et la propreté de la voie publique ou d'incommoder les usagers. 8.9 Les propriétaires d'animaux doivent procéder immédiatement au ramassage des déjections de leur animal sur le domaine public. Des distributeurs de sacs sont disponibles à cet effet dans divers points de la commune. 8.10 Les travaux de nettoyage ou de vidange des fosses septiques, puisards et fosses d'aisance ne peuvent être effectués que par des entreprises spécialisées et agréées. 8.11 Les propriétaires ou exploitants sont tenus d'entretenir les terrains non bâtis situés à l'intérieur d'une zone d'habitation ou à une distance maximum de 50 mètres des habitations. Le débroussaillage doit être effectué avant le 30 juin de chaque année. 8.12 Les piscines privées doivent être équipées d'un système de traitement des eaux conforme à la réglementation en vigueur. La vidange des piscines sur la voie publique est interdite. Article 9 : Police municipale 9.1 Le service de police municipale de Trifouillis-sur-Loire est composé de 4 agents. Il est chargé d'assurer l'exécution des arrêtés de police du maire et de constater les infractions à ces arrêtés. 9.2 Les agents de police municipale assurent une présence quotidienne sur la commune du lundi au samedi de 8h00 à 20h00.\n\n9.3 En dehors des heures de service de la police municipale, la Gendarmerie Nationale, dont la brigade est située Rue des Écoles, assure la sécurité de la commune."", '## RÈGLEMENT MUNICIPAL COMMUNE DE TRIFOUILLIS-SUR-LOIRE\n\n![Logo de la commune]']","Je ne dispose pas de cette information, veuillez contacter le secrétariat.","Le Titre II porte sur l'ordre public et la sécurité, incluant la tranquillité publique, la circulation et le stationnement, la salubrité publique, la police municipale, les animaux, les débits de boissons et la sécurité des bâtiments.",0.0,,0.0,0.0
MOYENNE GÉNÉRALE,-,-,-,0.8181818181818182,,0.6212121211583334,0.7272727272727273
