Nom du projet,Description,Date de lancement,Budget alloué (en €)
Rénovation de la voirie centrale,"Refonte et réhabilitation des rues principales du centre-ville",2023-09-01,750000
Modernisation de l'éclairage public,"Remplacement des lampadaires défectueux et installation de LED",2023-10-15,300000
Création du Centre Culturel Innovant,"Construction d'un centre culturel pour promouvoir l'art local",2024-01-20,1200000
Amélioration des espaces verts,"Réaménagement des parcs et jardins municipaux",2023-11-10,450000
Développement de l'internet municipal,"Mise en place d'une connexion haut débit dans les bâtiments publics",2024-03-05,200000
Rénovation de l'école primaire,"Modernisation et extension des locaux de l'école primaire de la commune",2023-08-20,650000
Création du Pôle Sportif Municipal,"Construction d'un complexe sportif multifonctionnel",2023-07-15,950000
Réaménagement de la place du Marché,"Reconfiguration de l'espace public pour dynamiser le commerce local",2023-10-05,500000
Installation d'un système de surveillance urbaine,"Mise en place de caméras pour renforcer la sécurité publique",2023-12-01,400000
Création d'un jardin communautaire,"Aménagement d'un espace vert partagé pour encourager l'agriculture urbaine",2024-04-10,150000
Développement de pistes cyclables,"Création d'un réseau sécurisé de pistes cyclables dans toute la commune",2023-09-15,350000
Modernisation du service de transport public,"Mise à niveau et renouvellement des véhicules municipaux",2024-02-20,800000
Installation de bornes de recharge électrique,"Déploiement de stations de recharge pour véhicules électriques",2024-05-05,250000
Création du Centre d'Innovation Numérique,"Développement d'un incubateur pour startups et innovation technologique",2024-03-10,1100000
Mise en place d'un système de tri sélectif avancé,"Optimisation de la gestion des déchets par un système de tri intelligent",2023-11-20,300000